구분,행정구역코드,지역명,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도,위도,위치업데이트
kor,1100000000,서울특별시,60,127,126,58,48.03,37,33,48.85,126.98000833333333,37.56356944444444,
kor,2600000000,부산광역시,98,76,129,4,37.03,35,10,37.27,129.07695277777776,35.17701944444444,
kor,2700000000,대구광역시,89,90,128,36,12.79,35,52,6.75,128.60355277777776,35.868541666666665,
kor,3100000000,울산광역시,102,84,129,18,49.28,35,32,7.47,129.3136888888889,35.53540833333333,
kor,4100000000,경기도,60,120,127,0,42.08,37,16,18.64,127.01168888888888,37.27184444444444,
kor,4200000000,강원도,73,134,127,43,55.11,37,52,57.69,127.731975,37.882691666666666,
kor,4300000000,충청북도,69,107,127,29,36.91,36,37,57.0,127.49358611111111,36.6325,
kor,4400000000,충청남도,68,100,127,25,22.64,36,19,25.94,127.42295555555556,36.32387222222223,
kor,4500000000,전라북도,63,89,127,6,39.79,35,49,2.19,127.11105277777777,35.817275,
kor,4600000000,전라남도,51,67,126,27,54.0,34,48,46.96,126.465,34.813044444444444,
kor,4700000000,경상북도,89,91,128,36,9.96,35,53,22.58,128.60276666666667,35.889605555555555,
kor,4800000000,경상남도,91,77,128,41,39.0,35,14,5.05,128.69416666666666,35.23473611111111,
kor,5000000000,제주특별자치도,52,38,126,30,1.2,33,29,8.5,126.50033333333333,33.48569444444445,
kor,4219000000,태백시,95,119,128,59,16.79,37,9,40.42,128.98799722222222,37.161227777777775,
kor,4215000000,강릉시,92,131,128,52,42.59,37,44,56.89,128.87849722222222,37.74913611111111,