"시점","구분(1)",구분(2),데이터
"2010.01","서울특별시",서울특별시,59
"2010.01","대구광역시",대구광역시,56
"2010.01","인천광역시",인천광역시,64
"2010.01","광주광역시",광주광역시,46
"2010.01","대전광역시",대전광역시,48
"2010.01","울산광역시",울산광역시,46
"2010.01","경기도",도평균,68
"2010.01","강원도",도평균,62
"2010.01","충청북도",도평균,77
"2010.01","충청남도",도평균,45
"2010.01","전라북도",도평균,55
"2010.01","전라남도",도평균,46
"2010.01","경상북도",도평균,50
"2010.01","경상남도",도평균,45
"2010.01","제주특별자치도",도평균,54
"2010.02","서울특별시",서울특별시,50
"2010.02","대구광역시",대구광역시,49
"2010.02","인천광역시",인천광역시,54
"2010.02","광주광역시",광주광역시,39
"2010.02","대전광역시",대전광역시,39
"2010.02","울산광역시",울산광역시,44
"2010.02","경기도",도평균,56
"2010.02","강원도",도평균,55
"2010.02","충청북도",도평균,62
"2010.02","충청남도",도평균,40
"2010.02","전라북도",도평균,47
"2010.02","전라남도",도평균,40
"2010.02","경상북도",도평균,47
"2010.02","경상남도",도평균,42
"2010.02","제주특별자치도",도평균,41
"2010.03","서울특별시",서울특별시,61
"2010.03","대구광역시",대구광역시,69
"2010.03","인천광역시",인천광역시,67
"2010.03","광주광역시",광주광역시,65
"2010.03","대전광역시",대전광역시,52
"2010.03","울산광역시",울산광역시,60
"2010.03","경기도",도평균,67
"2010.03","강원도",도평균,70
"2010.03","충청북도",도평균,73
"2010.03","충청남도",도평균,57
"2010.03","전라북도",도평균,62
"2010.03","전라남도",도평균,58
"2010.03","경상북도",도평균,62
"2010.03","경상남도",도평균,61
"2010.03","제주특별자치도",도평균,71
"2010.04","서울특별시",서울특별시,49
"2010.04","대구광역시",대구광역시,47
"2010.04","인천광역시",인천광역시,55
"2010.04","광주광역시",광주광역시,42
"2010.04","대전광역시",대전광역시,41
"2010.04","울산광역시",울산광역시,47
"2010.04","경기도",도평균,57
"2010.04","강원도",도평균,58
"2010.04","충청북도",도평균,63
"2010.04","충청남도",도평균,47
"2010.04","전라북도",도평균,52
"2010.04","전라남도",도평균,39
"2010.04","경상북도",도평균,48
"2010.04","경상남도",도평균,45
"2010.04","제주특별자치도",도평균,47
"2010.05","서울특별시",서울특별시,56
"2010.05","대구광역시",대구광역시,55
"2010.05","인천광역시",인천광역시,62
"2010.05","광주광역시",광주광역시,62
"2010.05","대전광역시",대전광역시,52
"2010.05","울산광역시",울산광역시,54
"2010.05","경기도",도평균,66
"2010.05","강원도",도평균,60
"2010.05","충청북도",도평균,67
"2010.05","충청남도",도평균,52
"2010.05","전라북도",도평균,66
"2010.05","전라남도",도평균,51
"2010.05","경상북도",도평균,54
"2010.05","경상남도",도평균,52
"2010.05","제주특별자치도",도평균,58
"2010.06","서울특별시",서울특별시,51
"2010.06","대구광역시",대구광역시,47
"2010.06","인천광역시",인천광역시,57
"2010.06","광주광역시",광주광역시,39
"2010.06","대전광역시",대전광역시,40
"2010.06","울산광역시",울산광역시,50
"2010.06","경기도",도평균,62
"2010.06","강원도",도평균,48
"2010.06","충청북도",도평균,60
"2010.06","충청남도",도평균,46
"2010.06","전라북도",도평균,61
"2010.06","전라남도",도평균,37
"2010.06","경상북도",도평균,44
"2010.06","경상남도",도평균,43
"2010.06","제주특별자치도",도평균,37
"2010.07","서울특별시",서울특별시,33
"2010.07","대구광역시",대구광역시,36
"2010.07","인천광역시",인천광역시,37
"2010.07","광주광역시",광주광역시,27
"2010.07","대전광역시",대전광역시,26
"2010.07","울산광역시",울산광역시,39
"2010.07","경기도",도평균,41
"2010.07","강원도",도평균,33
"2010.07","충청북도",도평균,37
"2010.07","충청남도",도평균,29
"2010.07","전라북도",도평균,36
"2010.07","전라남도",도평균,27
"2010.07","경상북도",도평균,33
"2010.07","경상남도",도평균,36
"2010.07","제주특별자치도",도평균,31
"2010.08","서울특별시",서울특별시,32
"2010.08","대구광역시",대구광역시,38
"2010.08","인천광역시",인천광역시,37
"2010.08","광주광역시",광주광역시,28
"2010.08","대전광역시",대전광역시,27
"2010.08","울산광역시",울산광역시,40
"2010.08","경기도",도평균,39
"2010.08","강원도",도평균,32
"2010.08","충청북도",도평균,37
"2010.08","충청남도",도평균,30
"2010.08","전라북도",도평균,35
"2010.08","전라남도",도평균,30
"2010.08","경상북도",도평균,33
"2010.08","경상남도",도평균,36
"2010.08","제주특별자치도",도평균,29
"2010.09","서울특별시",서울특별시,25
"2010.09","대구광역시",대구광역시,36
"2010.09","인천광역시",인천광역시,34
"2010.09","광주광역시",광주광역시,29
"2010.09","대전광역시",대전광역시,28
"2010.09","울산광역시",울산광역시,36
"2010.09","경기도",도평균,34
"2010.09","강원도",도평균,24
"2010.09","충청북도",도평균,33
"2010.09","충청남도",도평균,31
"2010.09","전라북도",도평균,34
"2010.09","전라남도",도평균,29
"2010.09","경상북도",도평균,31
"2010.09","경상남도",도평균,31
"2010.09","제주특별자치도",도평균,29
"2010.10","서울특별시",서울특별시,41
"2010.10","대구광역시",대구광역시,43
"2010.10","인천광역시",인천광역시,51
"2010.10","광주광역시",광주광역시,42
"2010.10","대전광역시",대전광역시,40
"2010.10","울산광역시",울산광역시,39
"2010.10","경기도",도평균,51
"2010.10","강원도",도평균,38
"2010.10","충청북도",도평균,55
"2010.10","충청남도",도평균,48
"2010.10","전라북도",도평균,49
"2010.10","전라남도",도평균,35
"2010.10","경상북도",도평균,37
"2010.10","경상남도",도평균,39
"2010.10","제주특별자치도",도평균,45
"2010.11","서울특별시",서울특별시,71
"2010.11","대구광역시",대구광역시,70
"2010.11","인천광역시",인천광역시,78
"2010.11","광주광역시",광주광역시,70
"2010.11","대전광역시",대전광역시,71
"2010.11","울산광역시",울산광역시,62
"2010.11","경기도",도평균,83
"2010.11","강원도",도평균,68
"2010.11","충청북도",도평균,91
"2010.11","충청남도",도평균,71
"2010.11","전라북도",도평균,73
"2010.11","전라남도",도평균,58
"2010.11","경상북도",도평균,64
"2010.11","경상남도",도평균,59
"2010.11","제주특별자치도",도평균,86
"2010.12","서울특별시",서울특별시,62
"2010.12","대구광역시",대구광역시,67
"2010.12","인천광역시",인천광역시,67
"2010.12","광주광역시",광주광역시,54
"2010.12","대전광역시",대전광역시,57
"2010.12","울산광역시",울산광역시,55
"2010.12","경기도",도평균,71
"2010.12","강원도",도평균,63
"2010.12","충청북도",도평균,79
"2010.12","충청남도",도평균,54
"2010.12","전라북도",도평균,58
"2010.12","전라남도",도평균,49
"2010.12","경상북도",도평균,59
"2010.12","경상남도",도평균,57
"2010.12","제주특별자치도",도평균,53
"2011.01","서울특별시",서울특별시,44
"2011.01","대구광역시",대구광역시,41
"2011.01","인천광역시",인천광역시,48
"2011.01","광주광역시",광주광역시,34
"2011.01","대전광역시",대전광역시,39
"2011.01","울산광역시",울산광역시,39
"2011.01","경기도",도평균,54
"2011.01","강원도",도평균,51
"2011.01","충청북도",도평균,60
"2011.01","충청남도",도평균,34
"2011.01","전라북도",도평균,43
"2011.01","전라남도",도평균,33
"2011.01","경상북도",도평균,42
"2011.01","경상남도",도평균,37
"2011.01","제주특별자치도",도평균,32
"2011.02","서울특별시",서울특별시,75
"2011.02","대구광역시",대구광역시,65
"2011.02","인천광역시",인천광역시,79
"2011.02","광주광역시",광주광역시,60
"2011.02","대전광역시",대전광역시,63
"2011.02","울산광역시",울산광역시,59
"2011.02","경기도",도평균,86
"2011.02","강원도",도평균,75
"2011.02","충청북도",도평균,93
"2011.02","충청남도",도평균,61
"2011.02","전라북도",도평균,72
"2011.02","전라남도",도평균,56
"2011.02","경상북도",도평균,66
"2011.02","경상남도",도평균,60
"2011.02","제주특별자치도",도평균,54
"2011.03","서울특별시",서울특별시,65
"2011.03","대구광역시",대구광역시,58
"2011.03","인천광역시",인천광역시,71
"2011.03","광주광역시",광주광역시,55
"2011.03","대전광역시",대전광역시,59
"2011.03","울산광역시",울산광역시,63
"2011.03","경기도",도평균,76
"2011.03","강원도",도평균,70
"2011.03","충청북도",도평균,80
"2011.03","충청남도",도평균,62
"2011.03","전라북도",도평균,62
"2011.03","전라남도",도평균,46
"2011.03","경상북도",도평균,64
"2011.03","경상남도",도평균,54
"2011.03","제주특별자치도",도평균,49
"2011.04","서울특별시",서울특별시,56
"2011.04","대구광역시",대구광역시,51
"2011.04","인천광역시",인천광역시,63
"2011.04","광주광역시",광주광역시,54
"2011.04","대전광역시",대전광역시,52
"2011.04","울산광역시",울산광역시,59
"2011.04","경기도",도평균,68
"2011.04","강원도",도평균,63
"2011.04","충청북도",도평균,67
"2011.04","충청남도",도평균,53
"2011.04","전라북도",도평균,61
"2011.04","전라남도",도평균,47
"2011.04","경상북도",도평균,55
"2011.04","경상남도",도평균,53
"2011.04","제주특별자치도",도평균,51
"2011.05","서울특별시",서울특별시,72
"2011.05","대구광역시",대구광역시,66
"2011.05","인천광역시",인천광역시,84
"2011.05","광주광역시",광주광역시,67
"2011.05","대전광역시",대전광역시,67
"2011.05","울산광역시",울산광역시,75
"2011.05","경기도",도평균,80
"2011.05","강원도",도평균,70
"2011.05","충청북도",도평균,72
"2011.05","충청남도",도평균,72
"2011.05","전라북도",도평균,76
"2011.05","전라남도",도평균,67
"2011.05","경상북도",도평균,69
"2011.05","경상남도",도평균,71
"2011.05","제주특별자치도",도평균,80
"2011.06","서울특별시",서울특별시,44
"2011.06","대구광역시",대구광역시,46
"2011.06","인천광역시",인천광역시,50
"2011.06","광주광역시",광주광역시,45
"2011.06","대전광역시",대전광역시,43
"2011.06","울산광역시",울산광역시,55
"2011.06","경기도",도평균,54
"2011.06","강원도",도평균,42
"2011.06","충청북도",도평균,50
"2011.06","충청남도",도평균,42
"2011.06","전라북도",도평균,54
"2011.06","전라남도",도평균,43
"2011.06","경상북도",도평균,48
"2011.06","경상남도",도평균,49
"2011.06","제주특별자치도",도평균,41
"2011.07","서울특별시",서울특별시,28
"2011.07","대구광역시",대구광역시,35
"2011.07","인천광역시",인천광역시,36
"2011.07","광주광역시",광주광역시,28
"2011.07","대전광역시",대전광역시,28
"2011.07","울산광역시",울산광역시,42
"2011.07","경기도",도평균,37
"2011.07","강원도",도평균,27
"2011.07","충청북도",도평균,29
"2011.07","충청남도",도평균,26
"2011.07","전라북도",도평균,32
"2011.07","전라남도",도평균,34
"2011.07","경상북도",도평균,33
"2011.07","경상남도",도평균,34
"2011.07","제주특별자치도",도평균,28
"2011.08","서울특별시",서울특별시,27
"2011.08","대구광역시",대구광역시,32
"2011.08","인천광역시",인천광역시,36
"2011.08","광주광역시",광주광역시,27
"2011.08","대전광역시",대전광역시,25
"2011.08","울산광역시",울산광역시,35
"2011.08","경기도",도평균,35
"2011.08","강원도",도평균,25
"2011.08","충청북도",도평균,27
"2011.08","충청남도",도평균,26
"2011.08","전라북도",도평균,31
"2011.08","전라남도",도평균,32
"2011.08","경상북도",도평균,29
"2011.08","경상남도",도평균,31
"2011.08","제주특별자치도",도평균,28
"2011.09","서울특별시",서울특별시,29
"2011.09","대구광역시",대구광역시,32
"2011.09","인천광역시",인천광역시,40
"2011.09","광주광역시",광주광역시,30
"2011.09","대전광역시",대전광역시,28
"2011.09","울산광역시",울산광역시,35
"2011.09","경기도",도평균,37
"2011.09","강원도",도평균,29
"2011.09","충청북도",도평균,34
"2011.09","충청남도",도평균,32
"2011.09","전라북도",도평균,34
"2011.09","전라남도",도평균,30
"2011.09","경상북도",도평균,32
"2011.09","경상남도",도평균,31
"2011.09","제주특별자치도",도평균,29
"2011.10","서울특별시",서울특별시,42
"2011.10","대구광역시",대구광역시,44
"2011.10","인천광역시",인천광역시,54
"2011.10","광주광역시",광주광역시,40
"2011.10","대전광역시",대전광역시,42
"2011.10","울산광역시",울산광역시,46
"2011.10","경기도",도평균,52
"2011.10","강원도",도평균,45
"2011.10","충청북도",도평균,53
"2011.10","충청남도",도평균,46
"2011.10","전라북도",도평균,50
"2011.10","전라남도",도평균,37
"2011.10","경상북도",도평균,43
"2011.10","경상남도",도평균,42
"2011.10","제주특별자치도",도평균,41
"2011.11","서울특별시",서울특별시,38
"2011.11","대구광역시",대구광역시,47
"2011.11","인천광역시",인천광역시,49
"2011.11","광주광역시",광주광역시,38
"2011.11","대전광역시",대전광역시,40
"2011.11","울산광역시",울산광역시,45
"2011.11","경기도",도평균,49
"2011.11","강원도",도평균,47
"2011.11","충청북도",도평균,50
"2011.11","충청남도",도평균,40
"2011.11","전라북도",도평균,49
"2011.11","전라남도",도평균,36
"2011.11","경상북도",도평균,47
"2011.11","경상남도",도평균,41
"2011.11","제주특별자치도",도평균,37
"2011.12","서울특별시",서울특별시,46
"2011.12","대구광역시",대구광역시,43
"2011.12","인천광역시",인천광역시,50
"2011.12","광주광역시",광주광역시,35
"2011.12","대전광역시",대전광역시,43
"2011.12","울산광역시",울산광역시,41
"2011.12","경기도",도평균,58
"2011.12","강원도",도평균,48
"2011.12","충청북도",도평균,59
"2011.12","충청남도",도평균,38
"2011.12","전라북도",도평균,48
"2011.12","전라남도",도평균,34
"2011.12","경상북도",도평균,46
"2011.12","경상남도",도평균,40
"2011.12","제주특별자치도",도평균,36
"2012.01","서울특별시",서울특별시,60
"2012.01","대구광역시",대구광역시,51
"2012.01","인천광역시",인천광역시,63
"2012.01","광주광역시",광주광역시,45
"2012.01","대전광역시",대전광역시,51
"2012.01","울산광역시",울산광역시,48
"2012.01","경기도",도평균,67
"2012.01","강원도",도평균,66
"2012.01","충청북도",도평균,70
"2012.01","충청남도",도평균,50
"2012.01","전라북도",도평균,65
"2012.01","전라남도",도평균,43
"2012.01","경상북도",도평균,57
"2012.01","경상남도",도평균,46
"2012.01","제주특별자치도",도평균,47
"2012.02","서울특별시",서울특별시,50
"2012.02","대구광역시",대구광역시,49
"2012.02","인천광역시",인천광역시,56
"2012.02","광주광역시",광주광역시,40
"2012.02","대전광역시",대전광역시,45
"2012.02","울산광역시",울산광역시,47
"2012.02","경기도",도평균,58
"2012.02","강원도",도평균,56
"2012.02","충청북도",도평균,61
"2012.02","충청남도",도평균,48
"2012.02","전라북도",도평균,55
"2012.02","전라남도",도평균,39
"2012.02","경상북도",도평균,53
"2012.02","경상남도",도평균,45
"2012.02","제주특별자치도",도평균,38
"2012.03","서울특별시",서울특별시,46
"2012.03","대구광역시",대구광역시,48
"2012.03","인천광역시",인천광역시,55
"2012.03","광주광역시",광주광역시,45
"2012.03","대전광역시",대전광역시,46
"2012.03","울산광역시",울산광역시,49
"2012.03","경기도",도평균,56
"2012.03","강원도",도평균,54
"2012.03","충청북도",도평균,60
"2012.03","충청남도",도평균,52
"2012.03","전라북도",도평균,58
"2012.03","전라남도",도평균,43
"2012.03","경상북도",도평균,52
"2012.03","경상남도",도평균,48
"2012.03","제주특별자치도",도평균,44
"2012.04","서울특별시",서울특별시,51
"2012.04","대구광역시",대구광역시,50
"2012.04","인천광역시",인천광역시,57
"2012.04","광주광역시",광주광역시,45
"2012.04","대전광역시",대전광역시,49
"2012.04","울산광역시",울산광역시,59
"2012.04","경기도",도평균,58
"2012.04","강원도",도평균,59
"2012.04","충청북도",도평균,62
"2012.04","충청남도",도평균,51
"2012.04","전라북도",도평균,57
"2012.04","전라남도",도평균,40
"2012.04","경상북도",도평균,55
"2012.04","경상남도",도평균,50
"2012.04","제주특별자치도",도평균,40
"2012.05","서울특별시",서울특별시,52
"2012.05","대구광역시",대구광역시,49
"2012.05","인천광역시",인천광역시,64
"2012.05","광주광역시",광주광역시,56
"2012.05","대전광역시",대전광역시,53
"2012.05","울산광역시",울산광역시,60
"2012.05","경기도",도평균,63
"2012.05","강원도",도평균,55
"2012.05","충청북도",도평균,62
"2012.05","충청남도",도평균,59
"2012.05","전라북도",도평균,69
"2012.05","전라남도",도평균,48
"2012.05","경상북도",도평균,52
"2012.05","경상남도",도평균,53
"2012.05","제주특별자치도",도평균,49
"2012.06","서울특별시",서울특별시,40
"2012.06","대구광역시",대구광역시,37
"2012.06","인천광역시",인천광역시,45
"2012.06","광주광역시",광주광역시,35
"2012.06","대전광역시",대전광역시,37
"2012.06","울산광역시",울산광역시,40
"2012.06","경기도",도평균,48
"2012.06","강원도",도평균,42
"2012.06","충청북도",도평균,45
"2012.06","충청남도",도평균,38
"2012.06","전라북도",도평균,43
"2012.06","전라남도",도평균,33
"2012.06","경상북도",도평균,39
"2012.06","경상남도",도평균,38
"2012.06","제주특별자치도",도평균,20
"2012.07","서울특별시",서울특별시,28
"2012.07","대구광역시",대구광역시,34
"2012.07","인천광역시",인천광역시,30
"2012.07","광주광역시",광주광역시,24
"2012.07","대전광역시",대전광역시,27
"2012.07","울산광역시",울산광역시,49
"2012.07","경기도",도평균,34
"2012.07","강원도",도평균,33
"2012.07","충청북도",도평균,34
"2012.07","충청남도",도평균,25
"2012.07","전라북도",도평균,28
"2012.07","전라남도",도평균,28
"2012.07","경상북도",도평균,37
"2012.07","경상남도",도평균,36
"2012.07","제주특별자치도",도평균,20
"2012.08","서울특별시",서울특별시,22
"2012.08","대구광역시",대구광역시,27
"2012.08","인천광역시",인천광역시,28
"2012.08","광주광역시",광주광역시,22
"2012.08","대전광역시",대전광역시,19
"2012.08","울산광역시",울산광역시,36
"2012.08","경기도",도평균,28
"2012.08","강원도",도평균,25
"2012.08","충청북도",도평균,21
"2012.08","충청남도",도평균,23
"2012.08","전라북도",도평균,25
"2012.08","전라남도",도평균,25
"2012.08","경상북도",도평균,29
"2012.08","경상남도",도평균,29
"2012.08","제주특별자치도",도평균,19
"2012.09","서울특별시",서울특별시,27
"2012.09","대구광역시",대구광역시,31
"2012.09","인천광역시",인천광역시,35
"2012.09","광주광역시",광주광역시,32
"2012.09","대전광역시",대전광역시,28
"2012.09","울산광역시",울산광역시,36
"2012.09","경기도",도평균,36
"2012.09","강원도",도평균,29
"2012.09","충청북도",도평균,34
"2012.09","충청남도",도평균,33
"2012.09","전라북도",도평균,40
"2012.09","전라남도",도평균,30
"2012.09","경상북도",도평균,32
"2012.09","경상남도",도평균,33
"2012.09","제주특별자치도",도평균,29
"2012.10","서울특별시",서울특별시,33
"2012.10","대구광역시",대구광역시,43
"2012.10","인천광역시",인천광역시,40
"2012.10","광주광역시",광주광역시,39
"2012.10","대전광역시",대전광역시,33
"2012.10","울산광역시",울산광역시,44
"2012.10","경기도",도평균,42
"2012.10","강원도",도평균,40
"2012.10","충청북도",도평균,45
"2012.10","충청남도",도평균,35
"2012.10","전라북도",도평균,44
"2012.10","전라남도",도평균,35
"2012.10","경상북도",도평균,43
"2012.10","경상남도",도평균,41
"2012.10","제주특별자치도",도평균,36
"2012.11","서울특별시",서울특별시,42
"2012.11","대구광역시",대구광역시,48
"2012.11","인천광역시",인천광역시,49
"2012.11","광주광역시",광주광역시,43
"2012.11","대전광역시",대전광역시,44
"2012.11","울산광역시",울산광역시,45
"2012.11","경기도",도평균,52
"2012.11","강원도",도평균,52
"2012.11","충청북도",도평균,59
"2012.11","충청남도",도평균,41
"2012.11","전라북도",도평균,52
"2012.11","전라남도",도평균,40
"2012.11","경상북도",도평균,50
"2012.11","경상남도",도평균,47
"2012.11","제주특별자치도",도평균,40
"2012.12","서울특별시",서울특별시,41
"2012.12","대구광역시",대구광역시,43
"2012.12","인천광역시",인천광역시,46
"2012.12","광주광역시",광주광역시,31
"2012.12","대전광역시",대전광역시,38
"2012.12","울산광역시",울산광역시,34
"2012.12","경기도",도평균,50
"2012.12","강원도",도평균,49
"2012.12","충청북도",도평균,60
"2012.12","충청남도",도평균,37
"2012.12","전라북도",도평균,46
"2012.12","전라남도",도평균,28
"2012.12","경상북도",도평균,43
"2012.12","경상남도",도평균,39
"2012.12","제주특별자치도",도평균,25
"2013.01","서울특별시",서울특별시,64
"2013.01","대구광역시",대구광역시,65
"2013.01","인천광역시",인천광역시,63
"2013.01","광주광역시",광주광역시,52
"2013.01","대전광역시",대전광역시,58
"2013.01","울산광역시",울산광역시,54
"2013.01","경기도",도평균,72
"2013.01","강원도",도평균,72
"2013.01","충청북도",도평균,85
"2013.01","충청남도",도평균,53
"2013.01","전라북도",도평균,72
"2013.01","전라남도",도평균,48
"2013.01","경상북도",도평균,66
