,시도명,연도,PM10 농도,PM2.5 농도,폐암,인구수,폐암환자 비율
0,강원,2009,,,621.0,1512870.0,0.0004104780979198477
1,강원,2010,50.916666666666664,,911.0,1529818.0,0.0005954956733415348
2,강원,2011,49.333333333333336,,1079.0,1536448.0,0.0007022691298371308
3,강원,2012,46.666666666666664,,1459.0,1538630.0,0.0009482461670447086
4,강원,2013,50.5,,1675.0,1542263.0,0.0010860663842677935
5,강원,2014,50.75,,1841.0,1544442.0,0.001192016275133673
6,강원,2015,49.666666666666664,26.5,2051.0,1549507.0,0.0013236468115342492
7,강원,2016,46.833333333333336,28.083333333333332,2245.0,1550806.0,0.001447634326924193
8,강원,2017,44.083333333333336,25.583333333333332,2457.0,1550142.0,0.0015850160823976127
9,강원,2018,37.833333333333336,22.416666666666668,2800.0,1543052.0,0.00181458563936925
10,강원,2019,38.083333333333336,21.333333333333332,3169.0,1541502.0,0.002055787147859685
11,강원,2020,30.166666666666668,17.583333333333332,3480.0,1542840.0,0.0022555806175624175
12,경기,2009,,,5040.0,11460610.0,0.0004397671677162036
13,경기,2010,57.916666666666664,,6081.0,11786622.0,0.0005159239008428369
14,경기,2011,57.166666666666664,,7158.0,11937415.0,0.000599627306246788
15,경기,2012,49.333333333333336,,9155.0,12093299.0,0.0007570308151646627
16,경기,2013,54.083333333333336,,10285.0,12234630.0,0.0008406465908654369
17,경기,2014,54.25,,11383.0,12357830.0,0.0009211164095961832
18,경기,2015,52.166666666666664,25.833333333333332,12637.0,12522606.0,0.001009134999536039
19,경기,2016,52.583333333333336,27.916666666666668,14483.0,12716780.0,0.0011388889325756992
20,경기,2017,51.166666666666664,27.166666666666668,17247.0,12873895.0,0.0013396877945641159
21,경기,2018,44.166666666666664,25.166666666666668,19960.0,13077153.0,0.0015263261047721932
22,경기,2019,46.166666666666664,26.0,22648.0,13239666.0,0.0017106171711582451
23,경기,2020,38.666666666666664,21.333333333333332,25035.0,13427014.0,0.0018645247558392358
24,경남,2009,,,1377.0,3250176.0,0.00042366936436672966
25,경남,2010,45.5,,1852.0,3290536.0,0.0005628262386431876
26,경남,2011,45.25,,2090.0,3308765.0,0.0006316556177304825
27,경남,2012,42.083333333333336,,2771.0,3319314.0,0.0008348110483069694
28,경남,2013,47.416666666666664,,3103.0,3333820.0,0.0009307641084401677
29,경남,2014,47.666666666666664,,3335.0,3350257.0,0.0009954460210067466
30,경남,2015,45.583333333333336,25.5,3719.0,3364702.0,0.0011052984781416007
31,경남,2016,44.666666666666664,24.583333333333332,4035.0,3373871.0,0.0011959556248593974
32,경남,2017,42.583333333333336,22.833333333333332,4632.0,3380404.0,0.0013702504197723113
33,경남,2018,41.5,20.166666666666668,5230.0,3373988.0,0.0015500944283145049
34,경남,2019,38.5,18.583333333333332,5871.0,3362553.0,0.0017459947843201282
35,경남,2020,29.0,16.0,6309.0,3340216.0,0.0018888000057481313
36,경북,2009,,,1250.0,2669876.0,0.0004681865375021162
37,경북,2010,46.833333333333336,,1862.0,2689920.0,0.0006922138948370212
38,경북,2011,47.833333333333336,,2183.0,2699195.0,0.0008087596487100784
39,경북,2012,45.166666666666664,,2913.0,2698353.0,0.0010795474128107035
40,경북,2013,50.083333333333336,,3199.0,2699440.0,0.0011850606051625522
41,경북,2014,48.75,,3544.0,2700794.0,0.0013122067066203495
42,경북,2015,44.583333333333336,,3788.0,2702826.0,0.0014014960637495717
43,경북,2016,39.916666666666664,21.75,4085.0,2700398.0,0.001512739973885331
44,경북,2017,39.833333333333336,23.5,4770.0,2691706.0,0.001772110327056521
45,경북,2018,43.833333333333336,24.416666666666668,5271.0,2676831.0,0.001969119455057118
46,경북,2019,41.083333333333336,20.666666666666668,5839.0,2665836.0,0.0021903072807179435
47,경북,2020,31.166666666666668,17.25,6379.0,2639422.0,0.002416817015240458
48,광주,2009,,,511.0,1433640.0,0.0003564353673167601
49,광주,2010,45.25,,687.0,1454636.0,0.0004722831003770015
50,광주,2011,42.75,,782.0,1463464.0,0.0005343486413058333
51,광주,2012,38.083333333333336,,1049.0,1469216.0,0.0007139862348354497
52,광주,2013,42.25,,1146.0,1472910.0,0.0007780516121147932
53,광주,2014,40.916666666666664,,1263.0,1475884.0,0.0008557583116288272
54,광주,2015,41.583333333333336,26.0,1383.0,1472199.0,0.0009394110442949628
55,광주,2016,40.083333333333336,23.416666666666668,1559.0,1469214.0,0.0010611115875563397
56,광주,2017,40.416666666666664,24.166666666666668,1777.0,1463770.0,0.0012139885364503987
57,광주,2018,40.916666666666664,24.0,2009.0,1459336.0,0.0013766534917250036
58,광주,2019,42.0,23.5,2191.0,1456468.0,0.0015043241595421252
59,광주,2020,29.75,18.0,2419.0,1450062.0,0.0016682045319441514
60,기타,2009,,,5.0,,
61,기타,2010,,,7.0,,
67,기타,2012,,,16.0,,
68,기타,2013,,,7.0,,
69,기타,2014,,,10.0,,
70,기타,2015,,,8.0,,
71,대구,2009,,,999.0,2489781.0,0.00040124010906983387
72,대구,2010,51.083333333333336,,1274.0,2511676.0,0.0005072310282058674
73,대구,2011,46.666666666666664,,1538.0,2507271.0,0.0006134159410769717
74,대구,2012,42.5,,2045.0,2505644.0,0.0008161574429567808
75,대구,2013,45.25,,2253.0,2501588.0,0.000900627921144489
76,대구,2014,45.166666666666664,,2457.0,2493264.0,0.000985455210519223
77,대구,2015,45.583333333333336,25.416666666666668,2697.0,2487829.0,0.0010840777239914802
78,대구,2016,43.083333333333336,24.5,2968.0,2484557.0,0.0011945791543522648
79,대구,2017,41.916666666666664,22.75,3457.0,2475231.0,0.0013966373239507747
80,대구,2018,39.916666666666664,22.25,3895.0,2461769.0,0.0015821955674963817
81,대구,2019,39.0,22.5,4325.0,2438031.0,0.0017739725212681872
82,대구,2020,34.0,20.0,4767.0,2418346.0,0.0019711819565934735
83,대전,2009,,,651.0,1484180.0,0.0004386260426632888
84,대전,2010,43.416666666666664,,720.0,1503664.0,0.00047883037699911684
85,대전,2011,44.083333333333336,,838.0,1515603.0,0.0005529152423160947
86,대전,2012,39.166666666666664,,1074.0,1524583.0,0.0007044549230838859
87,대전,2013,41.666666666666664,,1211.0,1532811.0,0.0007900517415389112
88,대전,2014,41.0,,1370.0,1531809.0,0.0008943673787006083
89,대전,2015,45.25,28.333333333333332,1464.0,1518775.0,0.0009639347500452667
90,대전,2016,43.833333333333336,22.5,1661.0,1514370.0,0.001096825742718094
91,대전,2017,45.333333333333336,21.083333333333332,1921.0,1502227.0,0.0012787681222611496
92,대전,2018,43.666666666666664,21.666666666666668,2160.0,1489936.0,0.0014497266996703214
93,대전,2019,41.166666666666664,22.25,2386.0,1474870.0,0.0016177697017364242
94,대전,2020,32.583333333333336,17.416666666666668,2606.0,1463882.0,0.0017801981307236513
95,부산,2009,,,1269.0,3543030.0,0.00035816800873828333
96,부산,2010,,,1711.0,3567910.0,0.0004795524550787436
97,부산,2011,,,1988.0,3550963.0,0.0005598481313378934
98,부산,2012,,,2696.0,3538484.0,0.0007619082070174685
99,부산,2013,,,3020.0,3527635.0,0.000856097640487182
100,부산,2014,,,3269.0,3519401.0,0.0009288512448567242
101,부산,2015,,,3604.0,3513777.0,0.0010256769282740482
102,부산,2016,,,4001.0,3498529.0,0.0011436235057648515
103,부산,2017,,,4647.0,3470653.0,0.0013389411156920614
104,부산,2018,,,5280.0,3441453.0,0.0015342356847529227
105,부산,2019,,,5936.0,3413841.0,0.0017388038868828397
106,부산,2020,,,6418.0,3391946.0,0.0018921291789432968
107,서울,2009,,,7292.0,10208302.0,0.0007143205598737185
108,서울,2010,49.166666666666664,,5615.0,10312545.0,0.0005444824725613319
109,서울,2011,47.166666666666664,,6635.0,10249679.0,0.0006473373458817588
110,서울,2012,41.0,,8415.0,10195318.0,0.0008253788650829724
111,서울,2013,44.5,,9393.0,10143645.0,0.000925998494623974
112,서울,2014,45.916666666666664,,10356.0,10103233.0,0.001025018427269766
113,서울,2015,45.5,23.166666666666668,11300.0,10022181.0,0.001127499094259024
114,서울,2016,47.833333333333336,26.083333333333332,12334.0,9930616.0,0.001242017615020055
115,서울,2017,43.833333333333336,24.5,14195.0,9857426.0,0.0014400310993965362
116,서울,2018,39.75,23.0,16028.0,9765623.0,0.0016412675361315915
117,서울,2019,41.583333333333336,24.833333333333332,17872.0,9729107.0,0.001836962015116084
118,서울,2020,35.25,20.75,19512.0,9668465.0,0.002018107321069063
119,세종,2012,,,113.0,,
120,세종,2013,,,127.0,,
121,세종,2014,,,167.0,,
122,세종,2015,,,226.0,,
123,세종,2016,,,274.0,,
124,세종,2017,,,303.0,,
125,세종,2018,,,353.0,,
126,세종,2019,,,428.0,,
127,세종,2020,,,502.0,,
128,울산,2009,,,424.0,1114866.0,0.00038031476428557334
129,울산,2010,47.666666666666664,,451.0,1126298.0,0.00040042688524706603
130,울산,2011,49.5,,542.0,1135494.0,0.00047732528749601497
131,울산,2012,45.583333333333336,,725.0,1147256.0,0.0006319426527296436
132,울산,2013,47.083333333333336,,821.0,1156480.0,0.0007099128389596016
133,울산,2014,46.25,,919.0,1166377.0,0.000787909912489701
134,울산,2015,45.166666666666664,24.666666666666668,1059.0,1173534.0,0.0009024024868474199
135,울산,2016,43.166666666666664,23.166666666666668,1221.0,1172304.0,0.001041538713507759
136,울산,2017,42.666666666666664,24.75,1463.0,1165132.0,0.0012556517201484467
137,울산,2018,40.083333333333336,23.166666666666668,1652.0,1155623.0,0.001429531949433336
138,울산,2019,36.75,20.333333333333332,1852.0,1148019.0,0.0016132137185882812
139,울산,2020,30.25,17.0,2013.0,1136017.0,0.0017719805249393275
140,인천,2009,,,1015.0,2710579.0,0.0003744587411029157
141,인천,2010,55.25,,1174.0,2758296.0,0.0004256250960738079
142,인천,2011,55.0,,1430.0,2801274.0,0.0005104820163968251
143,인천,2012,47.333333333333336,,1943.0,2843981.0,0.0006831972506145435
144,인천,2013,49.083333333333336,,2162.0,2879782.0,0.0007507512721449054
145,인천,2014,48.833333333333336,,2381.0,2902608.0,0.0008202967813772993
146,인천,2015,51.666666666666664,29.166666666666668,2703.0,2925815.0,0.0009238451508383135
147,인천,2016,49.583333333333336,26.416666666666668,2976.0,2943069.0,0.0010111893401072145
148,인천,2017,45.416666666666664,25.0,3516.0,2948542.0,0.0011924537618931662
149,인천,2018,39.5,22.25,3994.0,2954642.0,0.0013517712128914433
150,인천,2019,42.666666666666664,23.25,4469.0,2957026.0,0.0015113157611735574
151,인천,2020,33.25,18.083333333333332,4943.0,2942828.0,0.0016796768278676158
152,전남,2009,,,999.0,1913004.0,0.0005222153220798283
153,전남,2010,41.583333333333336,,1565.0,1918485.0,0.0008157478426987962
154,전남,2011,41.25,,1752.0,1914339.0,0.0009151984052981212
155,전남,2012,36.0,,2344.0,1909618.0,0.0012274706250150554
156,전남,2013,38.5,,2591.0,1907172.0,0.001358556019069072
157,전남,2014,37.583333333333336,,2794.0,1905780.0,0.0014660663875158727
158,전남,2015,37.916666666666664,25.0,3040.0,1908996.0,0.0015924601203983664
159,전남,2016,36.75,23.583333333333332,3268.0,1903914.0,0.0017164640839869869
160,전남,2017,35.333333333333336,20.333333333333332,3666.0,1896424.0,0.0019331120044884477
161,전남,2018,35.166666666666664,20.5,4043.0,1882970.0,0.0021471398907045784
162,전남,2019,33.75,19.166666666666668,4429.0,1868745.0,0.0023700397860596284
163,전남,2020,27.833333333333332,15.25,4675.0,1851549.0,0.0025249129242596335
164,전북,2009,,,799.0,1854508.0,0.0004308420346528567
165,전북,2010,52.333333333333336,,1310.0,1868963.0,0.0007009234532732858
166,전북,2011,51.0,,1485.0,1874031.0,0.0007924095172385089
167,전북,2012,48.5,,2008.0,1873341.0,0.0010718817342918348
168,전북,2013,51.083333333333336,,2201.0,1872965.0,0.0011751420875456828
169,전북,2014,50.583333333333336,,2453.0,1871560.0,0.0013106713116330761
170,전북,2015,50.0,34.0,2629.0,1869711.0,0.0014060996592521518
171,전북,2016,50.75,31.5,2793.0,1864791.0,0.0014977549762949305
172,전북,2017,48.166666666666664,28.5,3147.0,1854607.0,0.0016968554523950356
173,전북,2018,43.916666666666664,25.25,3562.0,1836832.0,0.0019392083761606942
174,전북,2019,43.083333333333336,25.833333333333332,3887.0,1818917.0,0.002136985909747394
175,전북,2020,33.166666666666664,20.5,4174.0,1804104.0,0.0023136138493124567
176,제주,2009,,,200.0,562663.0,0.0003554525533045535
177,제주,2010,48.416666666666664,,274.0,571255.0,0.0004796456923790601
178,제주,2011,42.166666666666664,,344.0,576156.0,0.0005970605183318407
179,제주,2012,33.916666666666664,,496.0,583713.0,0.00084973265971462
180,제주,2013,40.25,,557.0,593806.0,0.0009380167933634891
181,제주,2014,46.583333333333336,,619.0,607346.0,0.0010191884033154083
182,제주,2015,44.166666666666664,24.0,676.0,624395.0,0.0010826480032671627
183,제주,2016,41.166666666666664,22.0,796.0,641597.0,0.0012406541801161788
184,제주,2017,36.75,21.0,907.0,657083.0,0.0013803431225583374
185,제주,2018,35.0,18.916666666666668,1027.0,667191.0,0.0015392893489270688
186,제주,2019,35.0,18.583333333333332,1112.0,670989.0,0.0016572551860015588
187,제주,2020,30.166666666666668,15.583333333333334,1223.0,674635.0,0.0018128321240374425
188,충남,2009,,,998.0,2037582.0,0.0004897962388752944
189,충남,2010,45.833333333333336,,1445.0,2075514.0,0.0006962130826388066
190,충남,2011,44.333333333333336,,1673.0,2101284.0,0.0007961798595525403
191,충남,2012,41.0,,2128.0,2141894.0,0.000993513217740934
192,충남,2013,41.75,,2398.0,2169784.0,0.0011051791330381274
193,충남,2014,42.416666666666664,,2565.0,2218398.0,0.0011562397730253994
194,충남,2015,44.916666666666664,,2801.0,2288533.0,0.0012239281670834547
195,충남,2016,46.958333333333336,24.1875,3109.0,2339775.0,0.0013287602440405595
196,충남,2017,46.0,23.291666666666668,3564.0,2396870.0,0.001486939216561599
197,충남,2018,41.083333333333336,21.416666666666668,3992.0,2440408.0,0.0016357920478870746
198,충남,2019,43.708333333333336,25.75,4384.0,2464284.0,0.0017790157303297835
199,충남,2020,36.375,20.416666666666668,4785.0,2476860.0,0.0019318814951188197
200,충북,2009,,,646.0,1527478.0,0.0004229193481019039
201,충북,2010,61.166666666666664,,912.0,1549528.0,0.0005885663247130739
202,충북,2011,56.166666666666664,,1096.0,1562903.0,0.0007012591312448693
203,충북,2012,51.083333333333336,,1466.0,1565628.0,0.0009363654712358236
204,충북,2013,55.333333333333336,,1621.0,1572732.0,0.0010306905435891176
205,충북,2014,51.916666666666664,,1766.0,1578933.0,0.0011184768448059543
206,충북,2015,50.0,36.0,1923.0,1583952.0,0.001214051940967908
207,충북,2016,45.916666666666664,26.333333333333332,2183.0,1591625.0,0.001371554229168303
208,충북,2017,44.0,27.083333333333332,2518.0,1594432.0,0.001579245775298037
209,충북,2018,44.166666666666664,27.166666666666668,2843.0,1599252.0,0.001777706077591274
210,충북,2019,44.0,28.25,3075.0,1600007.0,0.0019218665918336608
211,충북,2020,35.416666666666664,21.333333333333332,3289.0,1600837.0,0.002054550213419605
212,강원,2021,30.3,14.0,,1538492.0,
213,경기,2021,41.2,19.8,,13565450.0,
214,경남,2021,29.6,14.6,,3314183.0,
215,경북,2021,33.7,15.9,,2626609.0,
216,광주,2021,33.3,17.3,,1441611.0,
217,대구,2021,34.2,16.8,,2385412.0,
218,대전,2021,34.8,15.6,,1452251.0,
219,서울,2021,37.7,18.8,,9509458.0,
220,울산,2021,29.9,14.9,,1121592.0,
221,인천,2021,38.4,19.7,,2948375.0,
222,전남,2021,32.0,14.3,,1832803.0,
223,전북,2021,38.1,18.8,,1786855.0,
224,제주,2021,32.0,13.1,,676759.0,
225,충남,2021,39.7,18.55,,2491152.0,
226,충북,2021,36.3,18.3,,1597427.0,
227,부산,2021,,,,3350380.0,
